Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BK73B42,Corteva Inc,CTVA,0.08%,Fertilizers & Agricultural Chemicals,US,---,"$1,131,703,918.28","16,733,756"
,2567116,Edwards Lifesciences Corp,EW,0.08%,Health Care Equipment,US,---,"$1,125,152,406.84","14,467,692"
,2852533,Public Storage,PSA,0.08%,Self-Storage REITs,US,---,"$1,123,635,165.50","3,890,030"
,2670519,Exelon Corp,EXC,0.08%,Electric Utilities,US,---,"$1,120,238,541.59","24,888,659"
,2310194,Electronic Arts Inc,EA,0.08%,Interactive Home Entertainment,US,---,"$1,118,988,032.80","5,547,784"
,2122117,Take-Two Interactive Software Inc,TTWO,0.08%,Interactive Home Entertainment,US,---,"$1,103,948,252.52","4,272,907"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.08%,Semiconductors,US,---,"$1,086,318,374.40","1,179,960"
,B2972D2,MSCI Inc,MSCI,0.08%,Financial Exchanges & Data,US,---,"$1,081,484,027.41","1,906,001"
,2027342,American International Group Inc,AIG,0.08%,Property & Casualty Insurance,US,---,"$1,071,988,140.30","13,648,945"
,2089212,AMETEK Inc,AME,0.08%,Electrical Components & Equipment,US,---,"$1,069,994,668.00","5,691,461"
,BHKD3S6,Dell Technologies Inc,DELL,0.07%,"Technology Hardware, Storage & Peripherals",US,---,"$1,059,215,841.36","7,471,368"
,2098876,Yum! Brands Inc,YUM,0.07%,Restaurants,US,---,"$1,039,467,048.00","6,838,599"
,BTGQCX1,Crown Castle Inc,CCI,0.07%,Telecom Tower REITs,US,---,"$1,035,485,233.21","10,731,529"
,2380863,WW Grainger Inc,GWW,0.07%,Trading Companies & Distributors,US,---,"$1,033,047,711.36","1,084,041"
,2707677,Public Service Enterprise Group Inc,PEG,0.07%,Multi-Utilities,US,---,"$1,026,513,933.12","12,299,472"
,2954699,Western Digital Corp,WDC,0.07%,"Technology Hardware, Storage & Peripherals",US,---,"$1,026,506,036.52","8,549,942"
,2317087,Entergy Corp,ETR,0.07%,Electric Utilities,US,---,"$1,025,186,265.27","11,001,033"
,2293819,eBay Inc,EBAY,0.07%,Broadline Retail,US,---,"$1,024,187,586.20","11,260,996"
,2491839,Kimberly-Clark Corp,KMB,0.07%,Household Products,US,---,"$1,016,672,351.34","8,176,551"
,2674458,Paychex Inc,PAYX,0.07%,Human Resource & Employment Services,US,---,"$1,012,893,146.12","7,990,637"
,2259101,Target Corp,TGT,0.07%,Consumer Staples Merchandise Retail,US,---,"$1,004,410,726.80","11,197,444"
,2931205,Vulcan Materials Co,VMC,0.07%,Construction Materials,US,---,"$1,001,242,498.86","3,254,803"
,B3Z5T14,Garmin Ltd,GRMN,0.07%,Consumer Electronics,US,---,"$993,122,460.72","4,033,476"
,2965107,Nasdaq Inc,NDAQ,0.07%,Financial Exchanges & Data,US,---,"$988,575,488.55","11,176,659"
,2732903,ResMed Inc,RMD,0.07%,Health Care Equipment,US,---,"$987,828,885.83","3,608,771"
,2208073,Copart Inc,CPRT,0.07%,Diversified Support Services,US,---,"$985,842,233.40","21,922,220"
,BYNZGK1,Block Inc,XYZ,0.07%,Transaction & Payment Processing Services,US,---,"$978,688,506.51","13,542,113"
,2868165,Sysco Corp,SYY,0.07%,Food Distributors,US,---,"$968,707,209.48","11,764,722"
,2754060,Rockwell Automation Inc,ROK,0.07%,Electrical Components & Equipment,US,---,"$968,537,144.10","2,770,970"
,2497406,Kroger Co/The,KR,0.07%,Food Retail,US,---,"$942,919,620.30","13,987,830"
,2572079,Martin Marietta Materials Inc,MLM,0.07%,Construction Materials,US,---,"$937,101,564.56","1,486,802"
,2476193,Hartford Insurance Group Inc/The,HIG,0.07%,Property & Casualty Insurance,US,---,"$924,076,565.70","6,927,630"
,2175672,Cardinal Health Inc,CAH,0.07%,Health Care Distributors,US,---,"$923,707,559.52","5,884,987"
,BYY8XK8,WEC Energy Group Inc,WEC,0.06%,Multi-Utilities,US,---,"$908,873,335.16","7,931,524"
,B1W9D46,Delta Air Lines Inc,DAL,0.06%,Passenger Airlines,US,---,"$906,981,564.50","15,982,054"
,2819118,Prudential Financial Inc,PRU,0.06%,Life & Health Insurance,US,---,"$899,763,058.74","8,673,251"
,2520153,Agilent Technologies Inc,A,0.06%,Life Sciences Tools & Services,US,---,"$898,587,334.50","7,001,070"
,2216850,Consolidated Edison Inc,ED,0.06%,Multi-Utilities,US,---,"$893,352,501.72","8,887,311"
,B55PZY3,Targa Resources Corp,TRGP,0.06%,Oil & Gas Storage & Transportation,US,---,"$888,339,802.70","5,302,255"
,2330299,Fair Isaac Corp,FICO,0.06%,Application Software,US,---,"$886,358,802.28","592,276"
,B3P2CN8,Xylem Inc/NY,XYL,0.06%,Industrial Machinery & Supplies & Components,US,---,"$884,573,725.00","5,997,110"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Industrial Machinery & Supplies & Components,US,---,"$884,162,386.25","9,670,375"
,2262864,CoStar Group Inc,CSGP,0.06%,Real Estate Services,US,---,"$880,848,448.48","10,440,304"
,B4P9W92,Verisk Analytics Inc,VRSK,0.06%,Research & Consulting Services,US,---,"$865,684,341.48","3,441,948"
,2592174,Microchip Technology Inc,MCHP,0.06%,Semiconductors,US,---,"$854,114,247.74","13,299,817"
,BD3W133,Keurig Dr Pepper Inc,KDP,0.06%,Soft Drinks & Non-alcoholic Beverages,US,---,"$853,934,903.16","33,474,516"
,2769796,Fidelity National Information Services Inc,FIS,0.06%,Transaction & Payment Processing Services,US,---,"$848,751,721.44","12,871,576"
,BL6JPG8,GE HealthCare Technologies Inc,GEHC,0.06%,Health Care Equipment,US,---,"$844,910,822.70","11,250,477"
,2955733,Westinghouse Air Brake Technologies Corp,WAB,0.06%,Construction Machinery & Heavy Transportation Equipment,US,---,"$844,557,055.95","4,212,885"
,2319414,EQT Corp,EQT,0.06%,Oil & Gas Exploration & Production,US,---,"$837,258,643.43","15,382,301"
,2655408,Occidental Petroleum Corp,OXY,0.06%,Integrated Oil & Gas,US,---,"$836,867,713.50","17,711,486"
,2740542,Arch Capital Group Ltd,ACGL,0.06%,Property & Casualty Insurance,US,---,"$831,025,194.33","9,159,321"
,BDB6Q21,Willis Towers Watson PLC,WTW,0.06%,Insurance Brokers,US,---,"$830,507,053.95","2,404,131"
,2689560,PG&E Corp,PCG,0.06%,Electric Utilities,US,---,"$816,727,446.60","54,159,645"
,2842040,State Street Corp,STT,0.06%,Asset Management & Custody Banks,US,---,"$811,109,205.18","6,991,718"
,2257019,Cognizant Technology Solutions Corp,CTSH,0.06%,IT Consulting & Other Services,US,---,"$807,104,350.27","12,033,761"
,BK0VN47,DuPont de Nemours Inc,DD,0.06%,Specialty Chemicals,US,---,"$803,766,357.50","10,317,925"
,BDR73G1,IQVIA Holdings Inc,IQV,0.06%,Life Sciences Tools & Services,US,---,"$795,706,145.00","4,189,250"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.06%,"Technology Hardware, Storage & Peripherals",US,---,"$794,185,545.20","32,336,545"
,2927925,Ventas Inc,VTR,0.06%,Health Care REITs,US,---,"$783,945,461.79","11,200,821"
,2319146,Equifax Inc,EFX,0.06%,Research & Consulting Services,US,---,"$782,702,017.89","3,051,113"
,BYWH073,VICI Properties Inc,VICI,0.06%,Other Specialized REITs,US,---,"$781,000,532.25","23,949,725"
,2523044,Carnival Corp,CCL,0.05%,"Hotels, Resorts & Cruise Lines",US,---,"$773,643,713.29","26,760,419"
,2212922,NRG Energy Inc,NRG,0.05%,Electric Utilities,US,---,"$771,918,156.10","4,766,398"
,2445063,Humana Inc,HUM,0.05%,Managed Health Care,US,---,"$771,245,346.30","2,964,390"
,B4QG225,United Airlines Holdings Inc,UAL,0.05%,Passenger Airlines,US,---,"$769,850,848.50","7,977,729"
,BQ84ZQ6,Kenvue Inc,KVUE,0.05%,Personal Care Products,US,---,"$767,512,382.82","47,289,734"
,2651086,Nucor Corp,NUE,0.05%,Steel,US,---,"$765,977,182.70","5,655,890"
,2340168,M&T Bank Corp,MTB,0.05%,Regional Banks,US,---,"$760,969,998.26","3,850,673"
,B1WT4X2,Interactive Brokers Group Inc,IBKR,0.05%,Investment Banking & Brokerage,US,---,"$755,061,075.30","10,973,130"
,2718992,Raymond James Financial Inc,RJF,0.05%,Investment Banking & Brokerage,US,---,"$754,575,441.60","4,371,816"
,2900335,Tractor Supply Co,TSCO,0.05%,Other Specialty Retail,US,---,"$742,627,738.93","13,058,339"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.05%,Electronic Equipment & Instruments,US,---,"$741,967,609.68","4,241,754"
,BVFTF03,Iron Mountain Inc,IRM,0.05%,Other Specialized REITs,US,---,"$741,826,452.66","7,277,089"
,B02HWR9,Extra Space Storage Inc,EXR,0.05%,Self-Storage REITs,US,---,"$737,267,005.80","5,231,070"
,BL5GZ82,Ingersoll Rand Inc,IR,0.05%,Industrial Machinery & Supplies & Components,US,---,"$735,915,259.98","8,907,229"
,2336747,Fifth Third Bancorp,FITB,0.05%,Diversified Banks,US,---,"$726,611,346.45","16,310,019"
,2280220,DTE Energy Co,DTE,0.05%,Multi-Utilities,US,---,"$723,459,849.03","5,115,321"
,2474164,EMCOR Group Inc,EME,0.05%,Construction & Engineering,US,---,"$716,608,902.24","1,103,256"
,2047317,Archer-Daniels-Midland Co,ADM,0.05%,Agricultural Products & Services,US,---,"$707,365,269.94","11,840,731"
,2511920,Lennar Corp,LEN,0.05%,Homebuilding,US,---,"$706,919,665.72","5,608,693"
,2050832,Ameren Corp,AEE,0.05%,Multi-Utilities,US,---,"$695,509,826.24","6,663,248"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.05%,Data Processing & Outsourced Services,US,---,"$687,167,845.83","2,885,199"
,2422806,Hershey Co/The,HSY,0.05%,Packaged Foods & Meats,US,---,"$682,653,003.75","3,649,575"
,2692687,Brown & Brown Inc,BRO,0.05%,Insurance Brokers,US,---,"$677,339,562.46","7,221,874"
,2680905,PPL Corp,PPL,0.05%,Electric Utilities,US,---,"$677,194,810.12","18,223,757"
,2131179,AvalonBay Communities Inc,AVB,0.05%,Multi-Family Residential REITs,US,---,"$677,015,455.05","3,504,765"
,2503477,Teledyne Technologies Inc,TDY,0.05%,Electronic Equipment & Instruments,US,---,"$676,523,403.92","1,154,398"
,2315359,Atmos Energy Corp,ATO,0.05%,Gas Utilities,US,---,"$675,571,692.00","3,956,496"
,B2R3PV1,American Water Works Co Inc,AWK,0.05%,Water Utilities,US,---,"$669,027,870.20","4,806,580"
,2367026,General Mills Inc,GIS,0.05%,Packaged Foods & Meats,US,---,"$664,227,432.96","13,173,888"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.05%,Oil & Gas Exploration & Production,US,---,"$663,408,308.70","4,635,977"
,BPGMZQ5,Veralto Corp,VLTO,0.05%,Environmental & Facilities Services,US,---,"$651,917,058.31","6,114,971"
,BP96PS6,Synchrony Financial,SYF,0.05%,Consumer Finance,US,---,"$651,355,919.55","9,167,571"
,BVVN4Q8,Eversource Energy,ES,0.05%,Electric Utilities,US,---,"$650,637,334.08","9,145,872"
,B0796X4,Dexcom Inc,DXCM,0.05%,Health Care Equipment,US,---,"$650,215,464.36","9,662,884"
,2708841,PulteGroup Inc,PHM,0.05%,Homebuilding,US,---,"$642,424,648.45","4,862,065"
,2656423,Old Dominion Freight Line Inc,ODFL,0.05%,Cargo Ground Transportation,US,---,"$641,557,688.70","4,557,165"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.04%,Movies & Entertainment,US,---,"$635,253,448.00","3,887,720"
,2648668,Northern Trust Corp,NTRS,0.04%,Asset Management & Custody Banks,US,---,"$634,348,802.40","4,712,844"
,B5834C5,Cboe Global Markets Inc,CBOE,0.04%,Financial Exchanges & Data,US,---,"$632,222,372.25","2,577,869"
,BYX4D52,HP Inc,HPQ,0.04%,"Technology Hardware, Storage & Peripherals",US,---,"$630,248,098.34","23,145,358"
,BZ6VT82,Charter Communications Inc,CHTR,0.04%,Cable & Satellite,US,---,"$629,538,452.49","2,288,357"
,2440637,CenterPoint Energy Inc,CNP,0.04%,Multi-Utilities,US,---,"$624,201,634.80","16,087,671"
,2445966,Huntington Bancshares Inc/OH,HBAN,0.04%,Regional Banks,US,---,"$623,858,785.88","36,123,844"
,BMZ5LZ5,Expand Energy Corp,EXE,0.04%,Oil & Gas Exploration & Production,US,---,"$623,826,725.12","5,871,863"
,B748CK2,Expedia Group Inc,EXPE,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$622,339,323.75","2,911,529"
,2126249,Mettler-Toledo International Inc,MTD,0.04%,Life Sciences Tools & Services,US,---,"$621,556,129.54","506,314"
,2196888,Cincinnati Financial Corp,CINF,0.04%,Property & Casualty Insurance,US,---,"$609,312,973.20","3,853,972"
,B28TS42,Ulta Beauty Inc,ULTA,0.04%,Other Specialty Retail,US,---,"$605,756,900.25","1,107,923"
,2465254,International Paper Co,IP,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$603,715,828.80","13,011,117"
,BFY8C75,STERIS PLC,STE,0.04%,Health Care Equipment,US,---,"$600,247,375.20","2,425,830"
,B95N910,PTC Inc,PTC,0.04%,Application Software,US,---,"$599,473,801.64","2,952,782"
,BDV82B8,Leidos Holdings Inc,LDOS,0.04%,Research & Consulting Services,US,---,"$597,197,309.28","3,160,443"
,2967589,Williams-Sonoma Inc,WSM,0.04%,Homefurnishing Retail,US,---,"$592,490,061.75","3,031,415"
,BRC3N73,Super Micro Computer Inc,SMCI,0.04%,"Technology Hardware, Storage & Peripherals",US,---,"$592,155,359.40","12,352,010"
,BSBK800,Labcorp Holdings Inc,LH,0.04%,Health Care Services,US,---,"$588,003,656.90","2,048,365"
,2100920,FirstEnergy Corp,FE,0.04%,Electric Utilities,US,---,"$586,795,616.98","12,806,539"
,2698470,PPG Industries Inc,PPG,0.04%,Specialty Chemicals,US,---,"$584,550,450.31","5,561,321"
,B1HMF22,First Solar Inc,FSLR,0.04%,Semiconductors,US,---,"$582,769,711.11","2,642,587"
,2637785,NVR Inc,NVR,0.04%,Homebuilding,US,---,"$581,685,280.02","72,397"
,BF09HX3,Tapestry Inc,TPR,0.04%,"Apparel, Accessories & Luxury Goods",US,---,"$580,707,531.18","5,129,019"
,B01R311,Regions Financial Corp,RF,0.04%,Regional Banks,US,---,"$579,834,028.89","21,988,397"
,2142922,VeriSign Inc,VRSN,0.04%,Internet Services & Infrastructure,US,---,"$578,911,749.54","2,070,722"
,2471789,Jabil Inc,JBL,0.04%,Electronic Manufacturing Services,US,---,"$574,291,080.27","2,644,431"
,2093644,W R Berkley Corp,WRB,0.04%,Property & Casualty Insurance,US,---,"$565,705,227.96","7,383,258"
,BQRX1X3,Citizens Financial Group Inc,CFG,0.04%,Regional Banks,US,---,"$565,078,732.68","10,629,773"
,2630643,NetApp Inc,NTAP,0.04%,"Technology Hardware, Storage & Peripherals",US,---,"$565,070,429.02","4,770,137"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Components & Equipment,US,---,"$563,870,908.73","1,310,383"
,2278407,Dover Corp,DOV,0.04%,Industrial Machinery & Supplies & Components,US,---,"$563,749,767.21","3,379,187"
,B5B1S13,Dollar General Corp,DG,0.04%,Consumer Staples Merchandise Retail,US,---,"$560,513,764.20","5,423,452"
,2909644,Tyler Technologies Inc,TYL,0.04%,Application Software,US,---,"$557,218,762.32","1,065,102"
,2702337,T Rowe Price Group Inc,TROW,0.04%,Asset Management & Custody Banks,US,---,"$555,733,092.24","5,414,391"
,2319157,Equity Residential,EQR,0.04%,Multi-Family Residential REITs,US,---,"$554,321,698.54","8,563,598"
,2289874,Darden Restaurants Inc,DRI,0.04%,Restaurants,US,---,"$548,770,950.16","2,882,806"
,2480677,Devon Energy Corp,DVN,0.04%,Oil & Gas Exploration & Production,US,---,"$548,392,111.92","15,641,532"
,BRK49M5,Smurfit WestRock PLC,SW,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$547,863,214.14","12,869,702"
,BYRY499,Kraft Heinz Co/The,KHC,0.04%,Packaged Foods & Meats,US,---,"$546,817,918.08","20,999,152"
,2486813,Kellanova,K,0.04%,Packaged Foods & Meats,US,---,"$543,492,324.78","6,626,339"
,2219224,CMS Energy Corp,CMS,0.04%,Multi-Utilities,US,---,"$540,330,888.24","7,375,524"
,2884183,Teradyne Inc,TER,0.04%,Semiconductor Materials & Equipment,US,---,"$539,498,286.12","3,919,633"
,BD8FDD1,Trade Desk Inc/The,TTD,0.04%,Advertising,US,---,"$538,235,661.60","10,982,160"
,B1XGNW4,Insulet Corp,PODD,0.04%,Health Care Equipment,US,---,"$535,515,648.48","1,734,576"
,2195841,Church & Dwight Co Inc,CHD,0.04%,Household Products,US,---,"$525,925,027.65","6,001,655"
,2702791,Quest Diagnostics Inc,DGX,0.04%,Health Care Services,US,---,"$525,248,009.00","2,756,050"
,2829515,Edison International,EIX,0.04%,Electric Utilities,US,---,"$524,193,539.76","9,482,517"
,2405302,Halliburton Co,HAL,0.04%,Oil & Gas Equipment & Services,US,---,"$516,794,389.20","21,007,902"
,BBM5MD6,CDW Corp/DE,CDW,0.04%,Technology Distributors,US,---,"$514,483,001.12","3,230,054"
,BZ6TS23,SBA Communications Corp,SBAC,0.04%,Telecom Tower REITs,US,---,"$511,594,625.85","2,645,951"
,2320524,Estee Lauder Cos Inc/The,EL,0.04%,Personal Care Products,US,---,"$508,617,272.52","5,771,871"
,2455965,Biogen Inc,BIIB,0.04%,Biotechnology,US,---,"$506,239,454.48","3,613,931"
,2645409,NiSource Inc,NI,0.04%,Multi-Utilities,US,---,"$502,407,605.10","11,602,947"
,BMX5GK7,Corpay Inc,CPAY,0.04%,Transaction & Payment Processing Services,US,---,"$501,276,538.86","1,740,181"
,2583576,ON Semiconductor Corp,ON,0.04%,Semiconductors,US,---,"$496,899,680.67","10,077,057"
,2372763,Gartner Inc,IT,0.03%,IT Consulting & Other Services,US,---,"$490,768,563.81","1,866,963"
,2783815,Zimmer Biomet Holdings Inc,ZBH,0.03%,Health Care Equipment,US,---,"$480,892,760.00","4,882,160"
,2504566,Packaging Corp of America,PKG,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$480,001,503.57","2,202,549"
,2903958,Trimble Inc,TRMB,0.03%,Electronic Equipment & Instruments,US,---,"$478,800,499.00","5,864,060"
,B23FN39,Lululemon Athletica Inc,LULU,0.03%,"Apparel, Accessories & Luxury Goods",US,---,"$478,291,675.77","2,688,089"
,2849472,Steel Dynamics Inc,STLD,0.03%,Steel,US,---,"$475,550,833.54","3,410,678"
,2367480,Genuine Parts Co,GPC,0.03%,Distributors,US,---,"$475,174,854.00","3,428,390"
,2170473,Constellation Brands Inc,STZ,0.03%,Distillers & Vintners,US,---,"$473,764,750.56","3,517,968"
,BWFRFC6,GoDaddy Inc,GDDY,0.03%,Internet Services & Infrastructure,US,---,"$466,794,039.87","3,411,489"
,2950482,West Pharmaceutical Services Inc,WST,0.03%,Life Sciences Tools & Services,US,---,"$465,131,289.41","1,773,077"
,BJ1F307,Amcor PLC,AMCR,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$464,710,773.44","56,810,608"
,BTDN8H1,Aptiv PLC,APTV,0.03%,Automotive Parts & Equipment,US,---,"$462,597,114.42","5,365,311"
,2427599,F5 Inc,FFIV,0.03%,Communications Equipment,US,---,"$457,772,456.61","1,416,419"
,2272476,Dollar Tree Inc,DLTR,0.03%,Consumer Staples Merchandise Retail,US,---,"$451,379,825.82","4,783,086"
,BLS09M3,Pentair PLC,PNR,0.03%,Industrial Machinery & Supplies & Components,US,---,"$447,425,763.72","4,039,597"
,2818740,Snap-on Inc,SNA,0.03%,Industrial Machinery & Supplies & Components,US,---,"$445,498,968.00","1,285,600"
,2162340,Coterra Energy Inc,CTRA,0.03%,Oil & Gas Exploration & Production,US,---,"$444,773,062.80","18,806,472"
,BM99VY2,Texas Pacific Land Corp,TPL,0.03%,Oil & Gas Exploration & Production,US,---,"$444,761,821.36","476,374"
,BNGC0D3,Jacobs Solutions Inc,J,0.03%,Research & Consulting Services,US,---,"$441,455,190.24","2,945,784"
,2958936,Weyerhaeuser Co,WY,0.03%,Timber REITs,US,---,"$440,770,513.46","17,780,174"
,2937689,Waters Corp,WAT,0.03%,Life Sciences Tools & Services,US,---,"$439,817,972.09","1,466,989"
,BFMXGR0,Evergy Inc,EVRG,0.03%,Electric Utilities,US,---,"$431,170,312.02","5,671,801"
,2490911,KeyCorp,KEY,0.03%,Diversified Banks,US,---,"$429,116,157.54","22,959,666"
,2973821,Alliant Energy Corp,LNT,0.03%,Electric Utilities,US,---,"$426,877,734.78","6,332,558"
,2316619,Essex Property Trust Inc,ESS,0.03%,Multi-Family Residential REITs,US,---,"$425,083,426.02","1,588,147"
,2523022,Loews Corp,L,0.03%,Property & Casualty Insurance,US,---,"$420,689,214.11","4,190,549"
,2550161,McCormick & Co Inc/MD,MKC,0.03%,Packaged Foods & Meats,US,---,"$417,258,789.20","6,236,120"
,2442053,Lennox International Inc,LII,0.03%,Building Products,US,---,"$416,369,166.72","786,552"
,2803014,Principal Financial Group Inc,PFG,0.03%,Life & Health Insurance,US,---,"$414,050,301.43","4,993,973"
,2831543,Southwest Airlines Co,LUV,0.03%,Passenger Airlines,US,---,"$412,790,695.72","12,936,092"
,2807061,Centene Corp,CNC,0.03%,Managed Health Care,US,---,"$410,027,994.88","11,491,816"
,2325507,Expeditors International of Washington Inc,EXPD,0.03%,Air Freight & Logistics,US,---,"$409,858,579.52","3,343,328"
,B02T2J7,Las Vegas Sands Corp,LVS,0.03%,Casinos & Gaming,US,---,"$409,206,887.10","7,607,490"
,BYT3MK1,Fortive Corp,FTV,0.03%,Industrial Machinery & Supplies & Components,US,---,"$408,454,565.91","8,337,509"
,BD81GW9,Invitation Homes Inc,INVH,0.03%,Single-Family Residential REITs,US,---,"$407,585,870.16","13,896,552"
,2747305,Rollins Inc,ROL,0.03%,Environmental & Facilities Services,US,---,"$406,847,337.60","6,926,240"
,2589132,Mid-America Apartment Communities Inc,MAA,0.03%,Multi-Family Residential REITs,US,---,"$402,942,614.79","2,883,723"
,BHXCF84,Dow Inc,DOW,0.03%,Commodity Chemicals,US,---,"$400,537,502.41","17,467,837"
,BJN4XN5,Gen Digital Inc,GEN,0.03%,Systems Software,US,---,"$392,141,417.40","13,812,660"
,2279303,Omnicom Group Inc,OMC,0.03%,Advertising,US,---,"$389,228,133.44","4,774,048"
,2464165,International Flavors & Fragrances Inc,IFF,0.03%,Specialty Chemicals,US,---,"$388,672,362.72","6,315,768"
,2116228,CH Robinson Worldwide Inc,CHRW,0.03%,Air Freight & Logistics,US,---,"$385,231,304.80","2,909,602"
,2909730,Tyson Foods Inc,TSN,0.03%,Packaged Foods & Meats,US,---,"$382,351,875.30","7,041,471"
,2712013,Global Payments Inc,GPN,0.03%,Transaction & Payment Processing Services,US,---,"$375,855,664.68","4,524,021"
,BFRT3W7,Allegion plc,ALLE,0.03%,Building Products,US,---,"$375,261,072.25","2,115,935"
,2989356,Zebra Technologies Corp,ZBRA,0.03%,Electronic Equipment & Instruments,US,---,"$372,062,743.92","1,252,062"
,2204026,Clorox Co/The,CLX,0.03%,Household Products,US,---,"$371,613,623.40","3,013,898"
,2885937,Textron Inc,TXT,0.03%,Aerospace & Defense,US,---,"$370,993,984.69","4,390,981"
,2267278,Deckers Outdoor Corp,DECK,0.03%,Footwear,US,---,"$370,504,207.53","3,654,969"
,2433530,Hologic Inc,HOLX,0.03%,Health Care Equipment,US,---,"$369,904,726.18","5,480,882"
,2094670,Best Buy Co Inc,BBY,0.03%,Computer & Electronics Retail,US,---,"$366,309,405.22","4,844,081"
,2491594,Kimco Realty Corp,KIM,0.03%,Retail REITs,US,---,"$364,655,808.05","16,689,053"
,2570200,Masco Corp,MAS,0.03%,Building Products,US,---,"$363,207,895.04","5,159,936"
,2556868,Everest Group Ltd,EG,0.03%,Reinsurance,US,---,"$362,109,101.14","1,033,918"
,B0G4K50,CF Industries Holdings Inc,CF,0.03%,Fertilizers & Agricultural Chemicals,US,---,"$357,946,235.40","3,990,482"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.02%,Movies & Entertainment,US,---,"$343,273,835.52","1,699,712"
,2471950,Incyte Corp,INCY,0.02%,Biotechnology,US,---,"$342,865,203.45","4,042,745"
,2073022,Ball Corp,BALL,0.02%,"Metal, Glass & Plastic Containers",US,---,"$338,131,898.10","6,706,305"
,BQPDXR3,Cooper Cos Inc/The,COO,0.02%,Health Care Supplies,US,---,"$337,032,321.44","4,915,874"
,B01SD70,Domino's Pizza Inc,DPZ,0.02%,Restaurants,US,---,"$332,553,983.78","770,318"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.02%,Building Products,US,---,"$330,237,348.75","2,723,607"
,BJBLRK3,Healthpeak Properties Inc,DOC,0.02%,Health Care REITs,US,---,"$327,942,926.55","17,124,957"
,BJJMGL2,Fox Corp,FOXA,0.02%,Broadcasting,US,---,"$326,646,638.04","5,179,934"
,2009210,Alexandria Real Estate Equities Inc,ARE,0.02%,Health Care REITs,US,---,"$319,681,905.84","3,835,876"
,2066408,Avery Dennison Corp,AVY,0.02%,Paper & Plastic Packaging Products & Materials,US,---,"$311,654,251.75","1,921,775"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.02%,Commodity Chemicals,US,---,"$310,979,804.00","6,341,350"
,2456612,IDEX Corp,IEX,0.02%,Industrial Machinery & Supplies & Components,US,---,"$302,100,789.12","1,856,112"
,2641838,Nordson Corp,NDSN,0.02%,Industrial Machinery & Supplies & Components,US,---,"$300,400,551.90","1,323,642"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Apparel, Accessories & Luxury Goods",US,---,"$299,178,570.60","954,135"
,2726177,Regency Centers Corp,REG,0.02%,Retail REITs,US,---,"$293,545,773.90","4,026,691"
,BBGVT40,News Corp,NWSA,0.02%,Publishing,US,---,"$289,590,324.98","9,429,838"
,2085102,Baxter International Inc,BAX,0.02%,Health Care Equipment,US,---,"$288,213,643.08","12,657,604"
,2951452,J M Smucker Co/The,SJM,0.02%,Packaged Foods & Meats,US,---,"$285,423,931.80","2,628,213"
,BK6YKG1,Globe Life Inc,GL,0.02%,Life & Health Insurance,US,---,"$285,320,939.90","1,995,670"
,BMWS3X9,Viatris Inc,VTRS,0.02%,Pharmaceuticals,US,---,"$284,412,932.10","28,728,579"
,2923785,Universal Health Services Inc,UHS,0.02%,Health Care Facilities,US,---,"$284,186,524.12","1,390,073"
,B3Q2FJ4,Stanley Black & Decker Inc,SWK,0.02%,Industrial Machinery & Supplies & Components,US,---,"$283,470,908.73","3,813,681"
,2961053,Skyworks Solutions Inc,SWKS,0.02%,Semiconductors,US,---,"$281,526,714.18","3,657,141"
,2166320,Camden Property Trust,CPT,0.02%,Multi-Family Residential REITs,US,---,"$281,107,426.30","2,632,585"
,BQ6BPG9,Bunge Global SA,BG,0.02%,Agricultural Products & Services,US,---,"$280,430,962.50","3,451,458"
,B40SSC9,Huntington Ingalls Industries Inc,HII,0.02%,Aerospace & Defense,US,---,"$278,054,552.79","965,769"
,2727910,UDR Inc,UDR,0.02%,Multi-Family Residential REITs,US,---,"$276,864,305.04","7,430,604"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.02%,"Hotels, Resorts & Cruise Lines",US,---,"$274,301,748.48","11,136,896"
,B3NPHP6,Mosaic Co/The,MOS,0.02%,Fertilizers & Agricultural Chemicals,US,---,"$271,268,347.20","7,822,040"
